time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447350000	19.5755	8.70359	4.64022	1.14593	0.384416	radar	0.439047	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7321	8.88667	4.63444	1.13759	0.356039	lidar	4.043	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8103	9.09958	4.57313	1.16514	0.369863	radar	0.901251	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9366	9.33795	4.64607	1.17755	0.36424	lidar	3.3481	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9891	9.54497	4.51948	1.21221	0.387954	radar	2.36131	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.073	9.79604	4.59216	1.23809	0.39521	lidar	1.10153	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1352	10.0474	4.68347	1.26586	0.400699	radar	7.39922	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1823	10.332	4.78243	1.30596	0.421946	lidar	1.22627	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2036	10.5572	4.67816	1.34665	0.449342	radar	3.05393	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2594	10.8432	4.78808	1.37792	0.459059	lidar	2.26516	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.288	11.1026	4.84008	1.40919	0.466503	radar	4.94114	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3219	11.3442	4.84427	1.43365	0.467668	lidar	0.00306172	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2776	11.5761	4.6735	1.49827	0.525823	radar	11.124	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3454	11.8227	4.71011	1.50695	0.508377	lidar	4.56139	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3679	12.0606	4.79957	1.51853	0.483373	radar	3.52059	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3514	12.3608	4.91797	1.55956	0.500858	lidar	1.24272	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3075	12.589	4.79061	1.61114	0.541026	radar	3.59019	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3312	12.8297	4.79312	1.62494	0.527877	lidar	1.68958	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3221	13.0536	4.74647	1.64966	0.528574	radar	2.05523	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.288	13.2642	4.69619	1.67864	0.530831	lidar	0.95338	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2512	13.4956	4.70898	1.70586	0.52892	radar	1.29176	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2256	13.7645	4.78092	1.7307	0.527708	lidar	1.37391	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1742	13.9849	4.72671	1.76487	0.5406	radar	0.899489	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1141	14.2499	4.80015	1.7969	0.545935	lidar	0.467589	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0436	14.4763	4.79244	1.82893	0.550465	radar	1.41441	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.93	14.7424	4.8871	1.87431	0.568498	lidar	1.40239	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8634	14.9579	4.87109	1.89385	0.552948	radar	3.29452	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8341	15.1713	4.80867	1.90362	0.535206	lidar	2.00239	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7118	15.3712	4.68012	1.96962	0.602439	radar	8.23323	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6871	15.5503	4.56186	1.97695	0.579713	lidar	2.96255	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5996	15.7466	4.5385	2.00332	0.575438	radar	1.1987	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4901	15.9691	4.58335	2.0348	0.578241	lidar	0.124352	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3904	16.1736	4.60352	2.05376	0.558969	radar	1.71332	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2803	16.3523	4.55768	2.08401	0.561077	lidar	0.451139	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1672	16.5436	4.54214	2.11346	0.56406	radar	0.229286	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0273	16.767	4.62087	2.14474	0.567249	lidar	0.374767	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8734	16.9586	4.61263	2.19953	0.615006	radar	6.9594	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.684	17.2156	4.80474	2.23668	0.621514	lidar	2.15927	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.58	17.4175	4.79847	2.22876	0.556619	radar	5.74272	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.356	17.6222	4.91807	2.27685	0.576016	lidar	3.86411	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2173	17.8148	4.91362	2.28415	0.538662	radar	2.45517	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0878	17.9959	4.86631	2.30165	0.529736	lidar	0.945593	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9138	18.1503	4.83006	2.34216	0.551879	radar	1.92175	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7925	18.2809	4.69423	2.36389	0.546374	lidar	1.05647	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6629	18.4575	4.66294	2.37269	0.52252	radar	6.69752	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
